Date,Energy Price,Materials Price,Industrials Price,Consumer Discretionary Price,Consumer Staples Price,Healthcare Price,Financials Price,Information Technology Price,Utilities Price
2004-06-28,31.639999,26.139999,27.99,31.27,22.860001,30.110001,23.119415,20.1,23.719999
2004-07-05,31.93,26.120001,28.049999,30.73,22.92,29.68,22.737612,19.629999,23.59
2004-07-12,32.650002,26.34,28.129999,30.309999,22.809999,29.309999,22.558895,18.9,24.08
2004-07-19,31.84,25.440001,27.51,30.129999,22.120001,28.92,22.388302,18.85,23.559999
2004-07-26,32.450001,26.17,27.860001,30.43,21.950001,28.92,22.721365,19.440001,24.120001
2004-08-02,30.93,25.09,26.709999,29.18,21.6,27.879999,22.209585,18.34,24.35
2004-08-09,31.129999,25.129999,26.74,29.030001,22.07,28.25,22.347685,18.049999,24.469999
2004-08-16,31.42,26.450001,27.59,30.49,22.370001,29.190001,23.233145,18.66,24.709999
2004-08-23,31.57,26.76,27.9,30.629999,22.43,29.6,23.476849,18.84,24.799999
2004-08-30,32.84,27.030001,28.190001,30.92,22.700001,29.75,23.623072,18.530001,25.16
2004-09-06,33.119999,26.790001,28.360001,31.15,22.389999,29.719999,23.818033,19.23,25.26
2004-09-13,33.919998,26.49,28.59,31.42,22.09,29.85,23.744923,19.26,25.16
2004-09-20,34.619999,26.41,27.98,31.200001,21.530001,29.17,23.119415,18.969999,24.860001
2004-09-27,35.43,27.700001,28.780001,31.59,21.879999,29.059999,23.509342,19.6,25.25
2004-10-04,36.189999,27.65,28.370001,31.540001,21.610001,28.02,23.436232,19.540001,25.530001
2004-10-11,35.16,26.93,28.139999,31.43,21.51,27.709999,22.794476,19.450001,25.58
2004-10-18,35.48,26.42,27.780001,31.290001,21.379999,27.040001,22.258327,19.42,25.66
2004-10-25,35.139999,27.290001,28.67,32.459999,21.799999,28.15,23.241266,19.959999,26.27
2004-11-01,35.73,28.370001,29.82,33.630001,22.75,28.73,23.899269,20.67,26.940001
2004-11-08,35.900002,29.18,30.559999,34.209999,22.969999,28.84,24.23233,21.059999,27.82
2004-11-15,36.380001,28.940001,30.360001,33.75,22.65,28.41,23.793665,21.01,27.299999
2004-11-22,37.66,29.709999,30.52,34.419998,22.74,28.610001,24.102356,21.09,28.110001
2004-11-29,35.990002,29.389999,30.889999,34.279999,22.809999,29.26,24.386677,21.620001,27.059999
2004-12-06,35.549999,28.99,30.85,34.400002,22.91,29.49,24.402924,21.280001,27.07
2004-12-13,36.049999,29.25,30.92,34.529999,22.83,29.700001,24.378553,20.959999,27.52
2004-12-20,36.509998,29.82,31.25,34.860001,23.040001,29.959999,24.841593,21.16,28.01
2004-12-27,36.32,29.73,31.07,35.290001,23.08,30.190001,24.800976,21.110001,27.85
2005-01-03,34.970001,28.74,30.17,34.330002,23.1,29.75,24.427296,20.450001,27.049999
2005-01-10,36.459999,28.92,30.09,34.509998,23.190001,29.67,24.15922,20.219999,27.549999
2005-01-17,36.400002,28.549999,29.51,33.709999,23.17,29.370001,23.996752,19.73,27.469999
2005-01-24,37.110001,28.469999,29.809999,33.419998,23.290001,29.200001,23.980503,19.780001,28.120001
2005-01-31,39.049999,29.52,30.450001,34.150002,23.639999,29.83,24.703493,20.26,29.1
2005-02-07,40.419998,29.780001,30.620001,34.09,23.540001,29.950001,24.833469,20.18,29.09
2005-02-14,42.049999,30.58,30.5,34.009998,23.469999,30.33,24.199839,19.879999,29.01
2005-02-21,44.169998,31.389999,30.73,33.740002,23.370001,30.59,24.337936,20.01,29.25
2005-02-28,44.919998,31.98,31.24,34.25,23.73,30.65,24.5329,20.120001,29.709999
2005-03-07,42.799999,31.41,31.02,33.740002,23.25,30.200001,24.118603,19.889999,29.25
2005-03-14,43.779999,30.83,30.58,33.419998,23.030001,29.58,23.533712,19.450001,29.16
2005-03-21,42.029999,30.25,30.469999,32.919998,22.91,29.799999,22.826969,19.370001,28.719999
2005-03-28,43.93,30.07,30.139999,32.900002,22.799999,29.6,22.745735,19.389999,29.25
2005-04-04,42.720001,29.99,30.209999,32.939999,23.09,30.459999,23.005686,19.59,29.450001
2005-04-11,39.73,27.52,28.950001,31.469999,22.860001,30.799999,22.526402,18.469999,29.01
2005-04-18,42.040001,28.08,29.290001,31.34,22.620001,30.49,22.534525,18.82,29.719999
2005-04-25,40.549999,28.01,29.32,31.049999,22.780001,30.9,23.103168,18.870001,30.049999
2005-05-02,41.099998,28.76,29.58,31.809999,23.07,31.17,23.354996,19.129999,29.82
2005-05-09,38.799999,27.01,29.17,31.41,22.85,31.08,22.932575,19.360001,29.17
2005-05-16,39.650002,27.889999,30.26,32.869999,23.52,31.469999,23.761169,20.030001,29.870001
2005-05-23,42.0,28.030001,30.33,33.09,23.389999,31.389999,23.826159,20.309999,30.040001
2005-05-30,42.630001,28.1,30.219999,33.040001,23.34,31.26,23.78554,20.25,30.48
2005-06-06,43.650002,28.129999,30.15,33.130001,23.370001,31.120001,23.842405,20.17,30.719999
2005-06-13,45.84,28.799999,30.360001,33.689999,23.299999,31.66,24.069862,20.299999,30.870001
2005-06-20,44.939999,27.34,29.290001,32.84,22.74,31.1,23.809912,19.99,31.120001
2005-06-27,45.439999,27.120001,29.48,32.860001,22.83,30.99,23.964256,19.969999,31.85
2005-07-04,46.240002,27.690001,29.82,33.48,23.0,31.26,24.272949,20.450001,31.99
2005-07-11,45.369999,27.9,30.030001,34.110001,23.360001,31.51,24.671,21.030001,32.02
2005-07-18,47.389999,28.77,30.5,34.57,23.280001,31.4,24.492283,20.959999,31.799999
2005-07-25,47.599998,28.639999,30.5,34.639999,23.48,31.73,24.313566,21.049999,32.27
2005-08-01,48.389999,28.59,30.02,34.110001,23.139999,31.549999,24.077986,21.16,31.91
2005-08-08,50.169998,28.889999,30.27,34.450001,23.08,31.75,24.13485,20.790001,31.74
2005-08-15,48.18,28.1,30.049999,33.869999,23.18,31.4,24.167343,20.76,31.639999
2005-08-22,47.990002,27.27,29.620001,33.450001,22.950001,31.030001,23.671812,20.6,32.150002
2005-08-29,50.950001,27.5,29.76,33.049999,23.08,31.610001,23.956133,20.74,33.0
2005-09-05,52.799999,28.0,30.23,33.82,23.360001,32.41,24.264826,21.049999,33.43
2005-09-12,52.279999,27.83,30.110001,33.139999,23.08,32.0,24.329813,20.98,33.59
2005-09-19,52.560001,27.08,29.75,32.290001,22.73,31.469999,23.842405,20.57,32.68
2005-09-26,53.669998,27.5,30.16,32.490002,23.280001,31.35,23.980503,20.9,33.599998
2005-10-03,49.529999,26.59,29.799999,31.700001,22.84,30.75,23.671812,20.209999,32.27
2005-10-10,48.34,26.32,29.629999,31.389999,22.75,30.809999,23.614946,20.01,30.860001
2005-10-17,46.02,26.52,29.290001,31.280001,22.870001,30.23,23.850529,20.17,30.35
2005-10-24,48.27,27.48,29.65,31.309999,23.08,30.25,24.622257,20.209999,31.049999
2005-10-31,49.5,27.85,30.09,32.540001,23.18,30.65,24.88221,20.889999,30.889999
2005-11-07,47.470001,28.610001,30.530001,33.009998,23.5,31.08,25.67831,21.15,30.639999
2005-11-14,49.040001,29.299999,31.299999,33.169998,23.4,31.26,25.751423,21.549999,31.17
2005-11-21,51.0,29.700001,31.610001,33.68,23.700001,31.26,26.360682,21.860001,31.75
2005-11-28,51.169998,30.120001,31.690001,33.59,23.530001,31.18,26.084484,22.02,31.57
2005-12-05,51.82,30.209999,31.450001,33.369999,23.360001,31.200001,25.913891,21.82,32.0
2005-12-12,51.07,29.799999,31.67,33.41,23.799999,31.700001,25.97888,21.57,32.310001
2005-12-19,51.25,30.52,31.84,33.080002,23.67,32.290001,26.149471,21.389999,31.84
2005-12-26,50.310001,30.280001,31.42,32.650002,23.290001,31.719999,25.727051,20.9,31.389999
2006-01-02,53.459999,31.389999,31.780001,33.330002,23.5,32.560001,26.376928,22.0,32.18
2006-01-09,54.459999,30.58,31.620001,33.560001,23.48,32.459999,26.417547,22.129999,32.200001
2006-01-16,56.41,30.110001,30.959999,32.950001,23.17,31.969999,25.44273,21.27,32.709999
2006-01-23,56.650002,31.6,31.620001,33.43,23.530001,32.290001,26.133224,21.709999,32.389999
2006-01-30,55.220001,31.08,31.440001,33.139999,23.23,32.009998,25.65394,21.280001,31.66
2006-02-06,52.540001,30.9,31.860001,33.27,23.209999,32.040001,25.930138,21.639999,31.780001
2006-02-13,53.009998,31.65,32.540001,33.619999,23.629999,32.689999,26.344435,21.93,32.299999
2006-02-20,53.630001,31.719999,32.66,33.450001,23.68,32.68,26.718115,21.700001,32.529999
2006-02-27,54.130001,31.74,32.740002,33.48,23.549999,32.360001,26.417547,22.0,32.299999
2006-03-06,51.389999,31.309999,32.849998,33.360001,24.15,32.43,26.515028,21.719999,31.709999
2006-03-13,53.650002,32.189999,33.790001,34.02,23.959999,32.720001,26.888708,22.110001,32.150002
2006-03-20,53.860001,32.049999,33.68,33.790001,23.98,32.68,26.709991,22.09,31.49
2006-03-27,54.400002,32.349998,33.799999,33.66,23.6,31.98,26.441917,22.139999,30.83
2006-04-03,55.349998,32.810001,33.950001,33.869999,23.41,31.280001,26.466288,22.26,30.67
2006-04-10,55.810001,32.950001,33.860001,33.599998,23.26,31.02,26.385054,22.1,30.24
2006-04-17,59.740002,34.400002,34.889999,33.669998,23.42,31.16,26.904955,22.059999,31.25
2006-04-24,57.139999,33.5,34.529999,34.09,23.83,30.99,27.587326,21.85,31.32
2006-05-01,58.860001,34.639999,35.68,34.610001,24.059999,30.780001,27.749798,21.92,32.18
2006-05-08,56.740002,33.790001,34.93,34.09,23.67,30.389999,26.969942,20.98,31.26
2006-05-15,54.02,32.25,34.040001,33.68,23.620001,30.280001,26.482534,20.6,31.09
2006-05-22,55.099998,32.560001,34.139999,33.669998,24.09,30.549999,26.758734,20.76,31.629999
2006-05-29,56.529999,32.810001,34.34,33.970001,23.959999,30.889999,27.010561,20.709999,32.540001
2006-06-05,52.799999,30.58,32.84,33.139999,23.780001,30.43,26.555647,19.940001,32.470001
2006-06-12,53.099998,30.59,33.259998,33.150002,23.75,30.309999,25.848904,20.190001,32.110001
2006-06-19,53.380001,30.940001,33.240002,32.880001,23.799999,29.98,25.686434,20.030001,31.66
2006-06-26,56.75,32.099998,33.810001,33.389999,24.190001,30.24,26.271324,20.33,32.290001
2006-07-03,56.689999,31.809999,33.27,32.900002,24.360001,30.41,26.279448,19.98,32.509998
2006-07-10,57.82,30.780001,32.0,31.389999,24.0,29.969999,25.686434,19.1,32.66
2006-07-17,54.48,30.049999,31.700001,31.34,24.440001,30.969999,26.222584,19.0,33.459999
2006-07-24,57.77,30.77,32.02,32.259998,24.690001,32.0,26.913078,19.83,33.990002
2006-07-31,57.84,31.18,32.060001,32.450001,24.74,31.82,27.010561,19.76,34.07
2006-08-07,58.150002,30.76,31.23,32.029999,24.84,31.559999,26.490658,19.709999,33.869999
2006-08-14,57.48,31.68,32.529999,33.09,25.190001,32.310001,27.246141,20.83,34.34
2006-08-21,58.220001,31.57,31.940001,32.240002,25.24,32.52,26.994314,20.74,34.310001
2006-08-28,56.5,32.189999,32.48,33.189999,25.66,32.970001,27.229895,21.280001,34.799999
2006-09-04,53.950001,31.75,32.189999,33.290001,25.540001,32.720001,27.181154,21.09,34.349998
2006-09-11,51.849998,31.17,32.73,34.459999,25.58,33.139999,27.741673,21.700001,33.720001
2006-09-18,51.330002,31.110001,32.389999,34.380001,25.48,32.889999,27.798538,21.6,33.549999
2006-09-25,53.450001,31.639999,33.34,34.950001,25.379999,33.189999,28.123478,22.0,33.990002
2006-10-02,52.689999,31.98,34.25,35.869999,25.27,33.259998,28.562145,22.299999,34.220001
2006-10-09,53.98,32.75,34.560001,36.630001,25.299999,33.130001,28.830219,22.809999,34.549999
2006-10-16,54.700001,32.68,34.279999,36.43,25.540001,33.860001,28.537773,22.76,35.610001
2006-10-23,56.169998,33.389999,34.25,37.060001,25.959999,33.630001,28.822096,22.76,35.77
2006-10-30,56.599998,33.279999,33.919998,36.599998,25.469999,33.07,28.521526,22.629999,35.580002
2006-11-06,57.450001,33.700001,34.5,37.330002,25.549999,32.490002,29.082047,23.09,35.91
2006-11-13,57.099998,33.830002,35.400002,38.110001,25.889999,33.220001,29.244516,23.639999,36.040001
2006-11-20,57.540001,35.080002,35.470001,37.950001,25.73,33.02,29.268887,23.76,36.200001
2006-11-27,60.720001,34.720001,34.919998,37.630001,25.530001,33.23,28.813972,23.32,36.720001
2006-12-04,60.27,35.549999,35.310001,38.220001,26.07,33.240002,29.41511,23.389999,36.77
2006-12-11,61.009998,35.369999,35.200001,38.450001,26.059999,33.41,29.731924,23.559999,36.939999
2006-12-18,58.59,34.490002,35.009998,38.23,26.07,33.439999,29.67506,23.040001,36.57
2006-12-25,58.630001,34.84,35.009998,38.360001,26.120001,33.490002,29.845654,23.26,36.720001
2007-01-01,55.919998,34.220001,34.959999,38.25,26.139999,33.689999,29.658813,23.5,36.110001
2007-01-08,55.439999,35.23,35.580002,39.259998,26.51,34.279999,30.056864,24.02,35.869999
2007-01-15,56.580002,35.77,35.619999,39.610001,26.610001,34.669998,30.02437,23.379999,36.049999
2007-01-22,56.849998,36.080002,35.209999,38.830002,26.49,34.23,29.910643,23.35,36.25
2007-01-29,58.630001,36.630001,36.189999,39.709999,26.799999,34.73,30.37368,23.75,37.099998
2007-02-05,58.389999,36.599998,35.849998,39.459999,26.52,34.540001,30.194963,23.540001,38.040001
2007-02-12,58.0,37.709999,36.66,39.900002,26.91,34.73,30.67425,23.9,38.240002
2007-02-19,58.650002,38.400002,36.599998,39.849998,26.82,34.389999,30.30057,23.98,38.669998
2007-02-26,56.049999,36.450001,34.84,37.779999,25.889999,33.259998,28.838343,22.639999,38.049999
2007-03-05,57.400002,37.310001,35.450001,38.259998,26.219999,33.630001,29.13891,23.0,38.200001
2007-03-12,56.389999,37.099998,35.25,37.32,25.93,33.200001,28.448416,22.950001,38.400002
2007-03-19,60.220001,38.220001,36.360001,38.66,26.790001,33.919998,29.406986,23.57,39.849998
2007-03-26,60.279999,38.049999,35.549999,38.029999,26.65,33.650002,28.943949,23.32,39.700001
2007-04-02,61.75,38.459999,35.830002,38.849998,27.09,34.619999,29.049553,23.860001,40.700001
2007-04-09,63.049999,38.880001,36.060001,38.900002,27.09,35.43,29.000813,23.889999,40.720001
2007-04-16,63.099998,39.080002,36.82,39.57,27.6,36.16,30.154346,24.23,41.57
2007-04-23,64.129997,39.34,37.639999,39.43,27.5,36.23,30.30057,24.610001,41.810001
2007-04-30,64.650002,39.400002,37.98,39.5,27.4,36.700001,30.641754,25.01,42.09
2007-05-07,65.209999,39.810001,38.189999,39.299999,27.200001,36.25,30.666124,25.190001,42.200001
2007-05-14,65.230003,39.759998,38.02,39.299999,27.1,36.209999,30.519903,25.07,42.369999
